shop,pref,ward,stations,genre,genres,tabelog_score,awards,feature,source_url
麺堂にしき 西武新宿店,東京都,新宿区,新宿区・西武新宿駅,鴨だしラーメン,鴨,3.47,,「特製鴨だし醤油」、2025年4月職安通りへ移転／駅2分,https://tabelog.com/tokyo/A1304/A130401/13309089
中華そば いたばし製麺,東京都,板橋区,板橋区・新板橋駅,中華そば,醤油・中華そば,3.47,,2025年5月開業の新店,https://tabelog.com/ramen/tokyo/A1322/A132201/rank
中華麺 有昌 Astage,東京都,渋谷区,渋谷区・代官山駅,中華そば（町中華系）,醤油・中華そば,3.47,,名物「しいたけそば」、椎茸の旨味＋醤油ダレ／駅5分・月日休,https://tabelog.com/tokyo/A1303/A130303/13289061
麺屋なごみ,東京都,葛飾区,葛飾区・青砥駅,鶏白湯,鶏白湯,3.47,,濃厚かつあっさりの鶏白湯麺／西口1分,https://tabelog.com/tokyo/A1324/A132403/13111400
中華処タカノ,東京都,豊島区,豊島区・椎名町駅,町中華（醤油）,醤油・中華そば,3.47,,“看板のない”超ローコスト町中華、ラーメン約350円／駅5分,https://tabelog.com/tokyo/A1321/A132101/13021686
町田家 新百合ヶ丘店,神奈川県,川崎市北部,川崎市北部・新百合ヶ丘駅,横浜家系,家系,3.47,,豚骨醤油＋鶏油、駅5分,https://tabelog.com/ramen/kanagawa/A1405/A140508/rank
地鶏と蟹 中華そば 榊,神奈川県,県央・相模原,県央・相模原・橋本駅,中華そば,醤油・中華そば,3.47,,地鶏と蟹の出汁の淡麗系、駅172m,https://tabelog.com/kanagawa/A1407/A140701/R7881/rstLst/ramen
NEW OLD STYLE 肉そば けいすけ,神奈川県,県央・相模原,県央・相模原・海老名駅,肉そば,その他・創作,3.47,,「けいすけ」系の肉そば、駅306m,https://tabelog.com/kanagawa/A1408/A140801/rstLst/ramen
清勝丸 海老名店,神奈川県,県央・相模原,県央・相模原・海老名駅,濃厚豚骨魚介つけ麺,つけ麺/豚骨・博多/貝・魚介系,3.47,,地域人気チェーンの実力店、駅357m,https://tabelog.com/kanagawa/A1408/A140801/rstLst/ramen
ラーメン壱六家 大和店,神奈川県,県央・相模原,県央・相模原・高座渋谷駅,家系,家系,3.47,,駅周辺最高評点の家系、駅441m,https://tabelog.com/kanagawa/A1407/A140702/R3801/rstLst/ramen
龍門瀑,埼玉県,埼玉,埼玉・熊谷駅,四川系・汁なし/担々,担々麺・四川・麻婆/油そば・まぜそば・汁なし,3.46,,黒カラシビ麺、もちもち平打ち自家製麺、駅5分,https://tabelog.com/saitama/A1105/A110501/11035482
まるふじ食堂,埼玉県,西武沿線エリア,西武沿線エリア・小手指駅,ラーメン（昭和の食堂）,その他・創作,3.46,,地元定番の街中華食堂、駅3分・日祝休,https://tabelog.com/saitama/A1106/A110601/R4032/rstLst/ramen
香氣 四川麺条 沼袋店,東京都,中野区,中野区・沼袋駅,担々麺・四川,担々麺・四川・麻婆,3.46,,学芸大学本店系、クリーミー担々麺／南口1分,https://tabelog.com/tokyo/A1321/A132104/13040771
九州じゃんがららあめん 秋葉原本店,東京都,千代田区,千代田区・末広町駅,豚骨（九州）,豚骨・博多/ご当地・地域系,3.46,,関東に九州ラーメンを広めた老舗（末広町3分）,https://tabelog.com/tokyo/A1310/A131001/13000344
麺屋 つむぎ,東京都,大田区,大田区・糀谷駅,淡麗・無化調 中華そば,醤油・中華そば,3.46,,西馬込徒歩圏（池上寄り）,https://tabelog.com/ramen/tokyo/A1317/A131716/rank
和風拉麺 喜粋（きすい）,東京都,文京区,文京区・根津駅,和風（鶏×煮干し）,煮干し,3.46,,鶏挽肉ワンタンが名物、不忍通り沿い,https://tabelog.com/tokyo/A1311/A131106/13148074
高井戸麻婆 TABLE,東京都,杉並区,杉並区・高井戸駅,担々麺・四川,担々麺・四川・麻婆,3.46,,本格四川の担々麺,https://tabelog.com/tokyo/A1318/A131806/R5716/rstLst/ramen
麺屋宗 肉そば総本店,東京都,板橋区,板橋区・ときわ台駅,肉そば,その他・創作,3.46,,「肉そば」専門の人気店／駅近,https://tabelog.com/tokyo/A1322/A132203/13114593
龍山,東京都,江東区,江東区・大島駅・西大島駅・東大島駅,中華・担々麺,担々麺・四川・麻婆,3.46,,東大島駅6分,https://tabelog.com/ramen/tokyo/A1312/A131202/rank
中華蕎麦 つけ麺 一（はじめ）,東京都,渋谷区,渋谷区・原宿駅 / 明治神宮前駅,つけ麺（辛つけ麺）,つけ麺,3.46,,原宿で貴重な本格つけ麺、明治神宮前寄り,https://tabelog.com/ramen/tokyo/A1306/A130601/rank
麻布ラーメン 麻布十番店,東京都,港区,港区・麻布十番駅,豚骨,豚骨・博多,3.46,,屋台風・背脂とんこつの定番,https://tabelog.com/ramen/tokyo/A1307/A130702/rank
ラーメン 豚んち,神奈川県,湘南・県西,湘南・県西・平塚駅,ラーメン,その他・創作,3.46,,平塚駅最寄りの上位店,https://tabelog.com/kanagawa/C14203/rstLst/ramen
一刀家 茅場町店,東京都,中央区,中央区・茅場町駅,ラーメン,その他・創作,3.45,,コスパ良好の地元定番,https://tabelog.com/tokyo/A1302/A130203/13163653
らーめん曳舟,東京都,墨田区,墨田区・曳舟駅,鶏塩ラーメン,塩,3.45,,鶏の旨味を凝縮した濃厚「鶏塩らーめん」／曳舟69m,https://tabelog.com/tokyo/A1312/A131203/13211440
中華そば 豊洲勝本,東京都,江東区,江東区・市場前駅・新豊洲駅,中華そば,醤油・中華そば,3.45,,銀座「勝本」系の端正な醤油清湯／千客万来3F,https://tabelog.com/tokyo/A1313/A131307/13292932
九州らーめん学金,東京都,渋谷区,渋谷区・北参道駅,豚骨（九州系）,豚骨・博多/ご当地・地域系,3.45,,コクのある定番、駅徒歩圏,https://tabelog.com/tokyo/A1304/A130403/13098088
らーめん 526（こじろう） 渋谷本店,東京都,渋谷区,渋谷区・代官山駅,二郎系＋鮮魚塩,二郎・二郎系/塩,3.45,,元「二郎 武蔵小杉」店主、二郎系と鮮魚塩の二枚看板／駅8分,https://tabelog.com/tokyo/A1303/A130301/13127293
ラーメン酒場 晴江戸,東京都,目黒区,目黒区・都立大学駅,醤油,醤油・中華そば,3.45,,「一燈」出身が手がける上品な醤油／駅4分,https://tabelog.com/ramen/tokyo/A1317/A131702/rank
刀削麺 大鵬,東京都,目黒区,目黒区・洗足駅,刀削麺,ご当地・地域系,3.45,,本格刀削麺、コクのあるスープ／洗足2分,https://tabelog.com/ramen/tokyo/A1317/A131711/rank
つけ麺 らーめん まる文,東京都,荒川区,荒川区・三ノ輪橋停留場,濃厚つけ麺,つけ麺,3.45,,動物系＋魚介／赤土小学校前3分・熊野前徒歩圏,https://tabelog.com/tokyo/A1324/A132401/13177353
好々亭,神奈川県,横浜北部,横浜北部・中山駅,町中華（サンマーメン）,その他・創作,3.45,,老舗、名物サンマーメン、駅130m,https://tabelog.com/kanagawa/C14113/C38371/rstLst/ramen
ラーメンショップ いずみ中央店,神奈川県,横浜南西部,横浜南西部・中田駅,豚骨醤油,豚骨・博多/醤油・中華そば,3.45,,あっさりマイルド、朝7時から（いずみ中央）,https://tabelog.com/kanagawa/A1401/A140304/14015739
盛田軒,埼玉県,さいたま市北部,さいたま市北部・宮原駅,ラーメン,その他・創作,3.44,,元サッカー選手の自家製麺の隠れた名店、東口3分,https://tabelog.com/saitama/A1101/A110103/R9817/rstLst/ramen
上尾飯店,埼玉県,埼玉,埼玉・上尾駅 / 北上尾駅,町中華・担々麺,担々麺・四川・麻婆,3.44,,担々麺が名物の家庭的な中華、上尾3分,https://tabelog.com/saitama/A1104/A110401/R184/rstLst/ramen
ぐりんぐりん,東京都,中央区,中央区・月島駅,汁なし担々麺,担々麺・四川・麻婆/油そば・まぜそば・汁なし,3.44,,汁なし担々麺の人気店（勝どき）,https://tabelog.com/tokyo/A1313/A131302/13203343
麺屋 百式 西小山本店,東京都,品川区,品川区・不動前駅・西小山駅,ラーメン,その他・創作,3.44,,動物系ベースのバランス型／西小山,https://tabelog.com/ramen/tokyo/A1317/A131710/rank
あたりや食堂 谷中店,東京都,文京区,文京区・根津駅,あんかけ・町中華,その他・創作,3.44,,とろり「雷々麺」が名物,https://tabelog.com/ramen/tokyo/A1311/A131106/rank
中華そば 彩,東京都,新宿区,新宿区・下落合駅,淡麗中華そば・つけ麺,つけ麺/醤油・中華そば,3.44,,鶏×魚介の清湯、「紅塩つけ麺」／駅30秒・日休,https://tabelog.com/tokyo/A1321/A132104/13040231
蒙古タンメン中本 上板橋本店,東京都,板橋区,板橋区・上板橋駅,激辛味噌・タンメン,味噌/ご当地・地域系,3.44,,本店限定メニューあり／駅1分,https://tabelog.com/tokyo/A1322/A132203/rstLst/ramen
111（イチ）,東京都,練馬区,練馬区・豊島園駅,四川料理（担々麺）,担々麺・四川・麻婆,3.44,,無化調の本格四川／豊島園3分,https://tabelog.com/tokyo/A1321/A132102/R6740/rstLst/ramen
まいこや,東京都,練馬区,練馬区・豊島園駅,食堂系ラーメン,その他・創作,3.44,,地元ランチ定番の大衆食堂／練馬春日町3分,https://tabelog.com/tokyo/A1321/A132102/R7717/rstLst/ramen
バリバリラーメン,埼玉県,西武沿線エリア,西武沿線エリア・新座駅,豚骨,豚骨・博多,3.43,,濃厚豚骨で長年愛される地元定番,https://tabelog.com/ramen/saitama/A1103/A110301/rank
つじ田 日本橋八重洲店,東京都,中央区,中央区・日本橋駅,つけ麺,つけ麺,3.43,,濃厚魚介つけ麺,https://tabelog.com/tokyo/A1302/A130202/13158035
らーめん 汁なし 兄貴んち,東京都,中野区,中野区・新江古田駅,二郎系・汁なし,二郎・二郎系/油そば・まぜそば・汁なし,3.43,,駅徒歩5分,https://tabelog.com/tokyo/A1321/A132101/13273656
麺や 美風 戸越銀座店,東京都,品川区,品川区・戸越駅,ラーメン・つけ麺,つけ麺,3.43,,日常使いの一杯,https://tabelog.com/tokyo/A1317/A131712/R6713/rstLst/ramen
らー麺 夢あかり,東京都,文京区,文京区・新大塚駅,淡麗,その他・創作,3.43,,鶏と魚介の透明感／駅16m,https://tabelog.com/tokyo/A1323/A132302/R5083/rstLst/ramen
武蔵家 白山店,東京都,文京区,文京区・本駒込駅,家系,家系,3.43,,日常使いの家系（本駒込〜白山）,https://tabelog.com/tokyo/A1323/A132301/R9112/rstLst/MC01
麺屋 武士道 本店,東京都,江戸川区,江戸川区・小岩駅,濃厚豚骨,豚骨・博多,3.43,,南口1分、11:00〜翌1:00無休,https://tabelog.com/tokyo/A1312/A131204/13188444
宗家一条流 がんこラーメン 南千住店,東京都,荒川区,荒川区・南千住駅,一条流がんこ系,その他・創作,3.43,,濃厚動物系＋背脂のパンチ,https://tabelog.com/tokyo/A1324/A132401/13240202
鎌倉だし工房 絹と小麦,神奈川県,湘南・県西,湘南・県西・鎌倉駅,ラーメン,その他・創作,3.43,,出汁にこだわる鎌倉の人気店,https://tabelog.com/ramen/kanagawa/A1404/A140402/rank
新潟長岡らーめん みずさわ 東大宮店,埼玉県,さいたま市北部,さいたま市北部・大和田駅 / 七里駅 / 東大宮駅,新潟生姜醤油,醤油・中華そば,3.42,,新潟系ならここ、東大宮9分,https://tabelog.com/saitama/A1101/A110103/R8160/rstLst/ramen
ど・みそ ららぽーと豊洲店,東京都,江東区,江東区・越中島駅・潮見駅・新木場駅,味噌,味噌,3.42,,人気チェーン本流,https://tabelog.com/tokyo/A1313/A131307/13149559
中国料理 桂林,東京都,練馬区,練馬区・平和台駅,中華（担々麺）,担々麺・四川・麻婆,3.42,,担々麺が名物の町中華（営業日縮小中・要確認）,https://tabelog.com/tokyo/A1322/A132202/R8960/rstLst/ramen
麺処 穂し乃,東京都,練馬区,練馬区・豊島園駅,煮干し＋鶏ガラ,煮干し,3.42,,特製ラーメン（練馬春日町〜光が丘）,https://tabelog.com/tokyo/A1321/A132102/R7717/rstLst/ramen
自家製熟成麺 吉岡 目白総本店,東京都,豊島区,豊島区・目白駅,竹岡式（濃口醤油＋刻み玉ねぎ）,醤油・中華そば/ご当地・地域系,3.42,,熟成自家製麺、駅徒歩2分・昼のみ,https://tabelog.com/tokyo/A1305/A130502/13178865
浮浪雲（はぐれぐも）,東京都,豊島区,豊島区・雑司が谷駅,中華そば（鶏ガラ＋煮干し醤油）,煮干し/醤油・中華そば,3.42,,駅から約500m,https://tabelog.com/tokyo/A1305/A130501/13129017
半蔵 本店,神奈川県,横浜南西部,横浜南西部・東戸塚駅,ラーメン,その他・創作,3.42,,優しい味わいで地元人気,https://tabelog.com/ramen/kanagawa/A1401/A140305/rank
らーめん ぶたまろ,神奈川県,湘南・県西,湘南・県西・平塚駅,ラーメン,その他・創作,3.42,,東京・蒲田から移転、TRY大賞受賞歴、西口6分,https://tabelog.com/kanagawa/A1404/A140407/14098885
さくら食堂。,埼玉県,さいたま市北部,さいたま市北部・宮原駅,ラーメン,その他・創作,3.41,,こだわり食材のらーめんと鶏めし、駅2分,https://tabelog.com/saitama/A1101/A110103/R9817/rstLst/ramen
中華そば ますや,東京都,北区,北区・上中里駅,町中華,その他・創作,3.41,,1953年創業、ワンタンメンが名物（上中里）,https://tabelog.com/tokyo/A1323/A132303/13098402
ヤマスズメ,東京都,墨田区,墨田区・曳舟駅,煮干し・つけ中華そば,煮干し/醤油・中華そば,3.41,,旧「すずめ食堂」を継ぎ2025/5リニューアル／曳舟138m,https://tabelog.com/tokyo/A1312/A131203/13309610
中華そば みた葉,東京都,新宿区,新宿区・牛込柳町駅,中華そば,醤油・中華そば,3.41,,駅徒歩圏の中華そば,https://tabelog.com/ramen/tokyo/A1305/A130504/rank
麺屋吟治zero,東京都,渋谷区,渋谷区・笹塚駅,煮干し醤油,煮干し/醤油・中華そば,3.41,,バー的空間の煮干し醤油,https://tabelog.com/tokyo/A1318/A131808/13289323
麺屋武蔵 虎嘯,東京都,港区,港区・六本木駅,つけ麺,つけ麺,3.41,,黒胡椒練り込み麺＋濃厚豚骨魚介,https://tabelog.com/tokyo/A1307/A130701/13131171
製麺所 吉岡,東京都,豊島区,豊島区・東長崎駅,ラーメン・つけ麺,つけ麺,3.41,,自家製麺が売り／駅207m・水休,https://tabelog.com/tokyo/A1321/A132101/R8255/rstLst/ramen
日の出屋,東京都,足立区,足立区・千住大橋駅,中華そば（老舗食堂）,醤油・中華そば,3.41,,1951年創業、ワンタンメン／京成関屋138m・日休,https://tabelog.com/tokyo/A1324/A132402/13063009
中華そば よしかわ 熊谷店,埼玉県,埼玉,埼玉・熊谷駅,煮干そば（白醤油）,煮干し/醤油・中華そば,3.4,百名店,TOKYO百名店常連の本店系列、駅構内,https://tabelog.com/saitama/A1105/A110501/11065499
麺屋 茅根（ちのね）,埼玉県,川口・蕨・戸田,川口・蕨・戸田・戸田公園駅 / 戸田駅 / 北戸田駅,濃厚魚介豚骨,豚骨・博多/貝・魚介系,3.4,,豚骨のコク＋魚介、戸田公園3分,https://tabelog.com/saitama/A1102/A110202/R6748/rstLst/ramen
らーめん まる玉 大島店,東京都,江東区,江東区・大島駅・西大島駅・東大島駅,鶏白湯（あおさ）,鶏白湯,3.4,,大島駅3分,https://tabelog.com/tokyo/A1312/A131202/13176259
クサカ亭,東京都,練馬区,練馬区・中村橋駅・富士見台駅,町中華,その他・創作,3.4,,長く愛される町中華の名店（中村橋3分）,https://tabelog.com/tokyo/A1321/A132102/13091237
ラーメン 三ノ輪家,東京都,荒川区,荒川区・三ノ輪橋停留場,家系,家系,3.4,,豚骨醤油＋太麺／三ノ輪橋27m,https://tabelog.com/tokyo/A1324/A132401/13241733
横浜らーめん 峰の家,神奈川県,横浜南西部,横浜南西部・金沢八景駅 / 能見台駅,家系,家系,3.4,,京急富岡・能見台最寄りの家系,https://tabelog.com/ramen/kanagawa/A1401/A140310/rank
らーめん 玉彦,東京都,板橋区,板橋区・板橋駅,つけ麺・まぜそば,つけ麺/油そば・まぜそば・汁なし,3.39,,玉子まぜそばが看板／駅2分,https://tabelog.com/ramen/tokyo/A1322/A132201/rank
香辣居 8号店,東京都,江東区,江東区・大島駅・西大島駅・東大島駅,麻婆麺・ラーメン,担々麺・四川・麻婆,3.39,,西大島駅2分,https://tabelog.com/ramen/tokyo/A1312/A131202/rank
鶏白湯専門店 いちばん星,東京都,足立区,足立区・西新井駅,鶏白湯,鶏白湯,3.39,,濃厚鶏白湯の専門店／駅226m・火休,https://tabelog.com/tokyo/A1324/A132404/R7318/rstLst/ramen
中華 八景堂,神奈川県,横浜南西部,横浜南西部・金沢八景駅 / 能見台駅,ラーメン（町中華）,その他・創作,3.39,,リーズナブルな金沢八景の定番,https://tabelog.com/ramen/kanagawa/A1401/A140310/rank
麺処 謹ちゃん,神奈川県,県央・相模原,県央・相模原・本厚木駅,ラーメン・つけ麺,つけ麺,3.39,,駅至近の人気店、駅153m,https://tabelog.com/kanagawa/A1408/A140802/rstLst/ramen
大ラーメン福籠,埼玉県,埼玉,埼玉・籠原駅,背脂醤油・大盛系,醤油・中華そば,3.38,,籠原駅最寄りの定番、背脂醤油＋肉厚チャーシュー,https://tabelog.com/saitama/A1105/A110501/11008882
勝楽,東京都,中野区,中野区・中野富士見町駅,味噌ラーメン・納豆つけ麺,つけ麺/味噌,3.38,,地元の味噌の名物店／徒歩2分,https://tabelog.com/tokyo/A1319/A131903/13062422
中華そば 政好,東京都,墨田区,墨田区・とうきょうスカイツリー駅 ／ 東向島駅,中華そば（ネオクラシック）,醤油・中華そば,3.38,,豚骨と鶏の醤油清湯＋背脂、2025年移転再開の話題店／スカイツリー駅657m,https://tabelog.com/tokyo/A1312/A131203/13317092
NARUTO（ナルト）,東京都,荒川区,荒川区・三ノ輪橋停留場,中華・もやしそば,その他・創作,3.38,,谷中「一寸亭」系／宮ノ前101m,https://tabelog.com/tokyo/A1324/A132401/13299810
麺家いろは 海老名ビナウォーク店,神奈川県,県央・相模原,県央・相模原・海老名駅,富山ブラック系,その他・創作,3.38,,黒醤油ラーメン、駅360m,https://tabelog.com/kanagawa/A1408/A140801/rstLst/ramen
中華そば 瀧壺（たきつぼ）,東京都,世田谷区,世田谷区・用賀駅,鴨南醤油ラーメン,鴨/醤油・中華そば,3.37,,甘めコク深い和風醤油＋自家製麺／用賀2分,https://tabelog.com/ramen/tokyo/A1317/A131707/rank
ラーメン 三原色（RAMEN RGB.）,東京都,豊島区,豊島区・北池袋駅・下板橋駅,鶏清湯（塩）,塩/醤油・中華そば,3.37,,神山鶏＋根昆布の黄金透明スープ、看板は塩そば／北池袋6-7分,https://tabelog.com/ramen/tokyo/A1322/A132201/rank
綾瀬らーめん 粋,東京都,足立区,足立区・綾瀬駅,豚骨醤油,豚骨・博多/醤油・中華そば,3.37,,ガード下、自家炊きスープ、ライス無料／駅すぐ,https://tabelog.com/tokyo/A1324/A132404/13259834
品の一,神奈川県,横浜南西部,横浜南西部・東戸塚駅,博多系/家系寄り,家系/豚骨・博多,3.37,,クセ少なくクリーミー、リーズナブル,https://tabelog.com/ramen/kanagawa/A1401/A140305/rank
RAMEN HIGHKICK,埼玉県,川越・東武東上線,川越・東武東上線・鶴瀬駅 / みずほ台駅,ラーメン,その他・創作,3.36,,鶴瀬駅4分,https://tabelog.com/saitama/A1103/A110302/R6440/rstLst/ramen
横浜家系ラーメン 町田商店 小岩店,東京都,江戸川区,江戸川区・江戸川駅,家系,家系,3.36,,濃厚豚骨醤油＋ライス無料、年中無休／駅5分,https://tabelog.com/tokyo/A1312/A131204/13255392
Vegan Ramen UZU Tokyo,東京都,江東区,江東区・市場前駅・新豊洲駅,ヴィーガン,その他・創作,3.36,,teamLab Planets併設、動物性不使用／新豊洲1分,https://tabelog.com/tokyo/A1313/A131307/R10998/rstLst/ramen
美華飯店,東京都,品川区,品川区・西大井駅,町中華,その他・創作,3.35,,駅徒歩1分の地元定番,https://tabelog.com/tokyo/A1317/A131712/R7343/rstLst/ramen
麺屋 きころく 練馬氷川台,東京都,練馬区,練馬区・氷川台駅,つけ麺・ラーメン・油そば,つけ麺/油そば・まぜそば・汁なし,3.35,,淡麗清湯系の駅前実力店／駅2分,https://tabelog.com/tokyo/A1322/A132202/R8365/rstLst/ramen
北京ラーメン,埼玉県,川口・蕨・戸田,川口・蕨・戸田・新井宿駅 / 南鳩ヶ谷駅,中華・旨辛ラーメン,その他・創作,3.34,,辛さ調整可の看板ラーメン、地元定番、南鳩ヶ谷6分,https://tabelog.com/saitama/A1102/A110201/R9668/rstLst/ramen
純鶏soba 煌（こう）,東京都,葛飾区,葛飾区・青砥駅,鶏清湯,醤油・中華そば,3.34,,鶏の旨みを生かした一杯、コスパ良,https://tabelog.com/tokyo/A1324/A132403/R71/rstLst/ramen
点心（てんしん）,東京都,豊島区,豊島区・北池袋駅・下板橋駅,町中華（中華そば）,醤油・中華そば,3.34,,昭和レトロな駅前町中華、約400円／下板橋1分,https://tabelog.com/tokyo/A1322/A132201/13059270
らーめん 耕,埼玉県,埼玉,埼玉・本庄駅,醤油/塩らーめん,塩/醤油・中華そば,3.33,,2024年2月、本庄早稲田駅構内に開業、駅1分,https://tabelog.com/saitama/A1105/A110504/11061980
しなそば家,東京都,中央区,中央区・月島駅,中華そば,醤油・中華そば,3.33,,地元定番の中華そば（月島）,https://tabelog.com/tokyo/A1313/A131302/13065856
麺家けんゆう 菊川店,東京都,墨田区,墨田区・菊川駅,豚骨醤油・つけ麺,つけ麺/豚骨・博多/醤油・中華そば,3.33,,駅近の利便性,https://tabelog.com/tokyo/A1312/A131201/13122250
ラーメン中毒 東向島店,東京都,墨田区,墨田区・とうきょうスカイツリー駅 ／ 東向島駅,二郎系インスパイア,二郎・二郎系,3.33,,教室風内装、非乳化豚骨醤油＋極太麺／東向島4分,https://tabelog.com/tokyo/A1312/A131203/13260990
徳丸家,東京都,板橋区,板橋区・東武練馬駅,横浜家系,家系,3.33,,武蔵家系譜、ライス無料／東武練馬北口1分・深夜まで,https://tabelog.com/tokyo/A1322/A132203/13260503
宣（せん）,東京都,葛飾区,葛飾区・柴又駅,豚骨魚介（こってり）,豚骨・博多/貝・魚介系,3.33,,ライス付きでコスパ良／新柴又3分,https://tabelog.com/tokyo/A1324/A132403/R5164/rstLst/ramen
都電テーブル 雑司が谷,東京都,豊島区,豊島区・雑司が谷駅,ラーメン,その他・創作,3.33,,駅約330m,https://tabelog.com/tokyo/A1305/A130502/13213508
淳之助製麺食堂 入間総本店,埼玉県,西武沿線エリア,西武沿線エリア・入間市駅,つけ麺・ラーメン,つけ麺,3.32,,自家製麺のつけ麺、駅1分・口コミ多数,https://tabelog.com/saitama/A1106/A110602/R1044/rstLst/ramen
あら井商店,東京都,中野区,中野区・新江古田駅,中華そば,醤油・中華そば,3.32,,2026年4月リニューアル再開／駅徒歩7分,https://tabelog.com/tokyo/A1321/A132101/13252923
らぁ麺 ちり葉,東京都,品川区,品川区・大崎駅,鶏白湯・淡麗,鶏白湯,3.32,,濃厚鶏白湯が看板,https://tabelog.com/tokyo/A1316/A131604/13297915
麺屋 白鬚,東京都,墨田区,墨田区・鐘ヶ淵駅,ラーメン・つけ麺,つけ麺,3.32,,鐘ヶ淵の実力店／駅357m,https://tabelog.com/tokyo/A1312/A131203/R2539/rstLst/ramen
麺 なか井,東京都,新宿区,新宿区・中井駅,濃厚醤油,醤油・中華そば,3.32,,「特製濃厚醤油」、駅前の定番／駅1-2分（落合からも徒歩圏）,https://tabelog.com/tokyo/A1321/A132104/13289312
光そば,東京都,江戸川区,江戸川区・瑞江駅,中華そば系,醤油・中華そば,3.32,,地元定番,https://tabelog.com/ramen/tokyo/A1312/A131205/rank
ハッスルラーメンホンマ 篠崎店,東京都,江戸川区,江戸川区・篠崎駅,ラーメン,その他・創作,3.32,,地元定番店,https://tabelog.com/ramen/tokyo/A1312/A131205/rank
まんまる,東京都,葛飾区,葛飾区・柴又駅,ラーメン・つけ麺,つけ麺,3.32,,もちもち自家製麺／四ツ木5分,https://tabelog.com/tokyo/A1324/A132403/13022598
越後屋（Echigoya）,埼玉県,さいたま市北部,さいたま市北部・西大宮駅 / 指扇駅,中華・味噌,味噌,3.31,,味噌ラーメンの種類が豊富、西大宮7分・水休,https://tabelog.com/saitama/A1101/A110103/R11253/rstLst/ramen
らあめん 常護,東京都,新宿区,新宿区・下落合駅,鶏清湯・白湯,醤油・中華そば,3.31,,地鶏×塩/醤油、白湯／北口すぐ,https://tabelog.com/tokyo/A1321/A132104/13258133
ラーメン吉田屋 森下本店,東京都,江東区,江東区・清澄白河駅,濃厚豚骨醤油（家系寄り）,家系/豚骨・博多/醤油・中華そば,3.31,,森下圏、徒歩5〜6分,https://tabelog.com/tokyo/A1313/A131303
AFURI 原宿,東京都,渋谷区,渋谷区・原宿駅 / 明治神宮前駅,塩（柚子塩）,塩,3.31,,淡麗系の代表格,https://tabelog.com/tokyo/A1306/A130601/13095244
えび豚骨ラーメン 真面目 押上店,東京都,墨田区,墨田区・押上〈スカイツリー前〉駅,えび豚骨,豚骨・博多/貝・魚介系,3.3,,スカイツリー目前、ライス食べ放題,https://tabelog.com/tokyo/A1312/A131203/13248231
つけ麺らーめん 蓮,東京都,渋谷区,渋谷区・千駄ヶ谷駅,つけ麺・醤油/塩,つけ麺/塩/醤油・中華そば,3.3,,麺1kgまで増量無料、駅徒歩2〜3分,https://ramendb.supleks.jp/s/77288.html
RAMEN SHELTER,東京都,荒川区,荒川区・三ノ輪橋停留場,鶏白湯（塩レモン等）,鶏白湯/塩,3.3,,現代派の隠れ家／小台4分,https://tabelog.com/tokyo/A1323/A132303/13251783
濱辰家,神奈川県,川崎市北部,川崎市北部・鷺沼駅,横浜家系,家系,3.3,,10時間炊き豚骨、駅1分,https://tabelog.com/kanagawa/A1405/A140507/14049587
蔵出し味噌 麺場 壱歩 入間店,埼玉県,西武沿線エリア,西武沿線エリア・入間市駅,味噌,味噌,3.29,,濃厚味噌に大判チャーシュー、地元定番、駅4分,https://tabelog.com/saitama/A1106/A110602/R1044/rstLst/ramen
芙蓉（ふよう）,東京都,江戸川区,江戸川区・江戸川駅,町中華（醤油）,醤油・中華そば,3.29,,昔ながらの醤油＋「チャーラー」が評判／駅9分・火休,https://tabelog.com/tokyo/A1312/A131204/13066091
横濱家系ラーメン 馬場壱家 風の陣,東京都,荒川区,荒川区・西日暮里駅,家系,家系,3.28,,マイルド豚骨醤油、深夜営業,https://tabelog.com/tokyo/A1311/A131105/13184208
一風堂 桶川店,埼玉県,埼玉,埼玉・桶川駅,博多豚骨,豚骨・博多,3.27,,全国区の博多豚骨専門、西口9分,https://tabelog.com/saitama/C11231/rstLst/ramen
拉麺 麺くま,東京都,杉並区,杉並区・久我山駅,ラーメン,その他・創作,3.27,,動物系コク／駅58m,https://tabelog.com/tokyo/A1318/A131806/R3407/rstLst/ramen
AFURI 麻布十番,東京都,港区,港区・麻布十番駅,塩（柚子）,塩,3.27,,柚子塩の安定銘柄,https://tabelog.com/ramen/tokyo/A1307/A130702/rank
中華 龍太郎,神奈川県,県央・相模原,県央・相模原・相武台前駅,中華・ラーメン,その他・創作,3.27,,駅至近のエリア最高評点、駅134m,https://tabelog.com/kanagawa/A1407/A140703/R5624/rstLst/ramen
餃子とラーメンの旨い店 みよし,埼玉県,さいたま市北部,さいたま市北部・日進駅,中華・ラーメン,その他・創作,3.26,,1968年創業、地元定番の町中華,https://tabelog.com/saitama/C11102/C29683/rstLst/ramen
拉麺 ゆうき,埼玉県,川口・蕨・戸田,川口・蕨・戸田・戸田公園駅 / 戸田駅 / 北戸田駅,中華・ラーメン,その他・創作,3.26,,駅至近で評価上位の町中華系、北戸田3分,https://tabelog.com/saitama/A1102/A110202/R3161/rstLst/ramen
